Year,Region,Population,Waste And Sewage,Machinery,Electricity And District Heating,Other Heating,Agriculture,Transportation,Industry,Total Emissions
2021,Uppsala County,,17.0,116.0,196.0,20.0,274.0,614.0,49.0,1327
2021,Vastmanland County,,29.0,83.0,231.0,13.0,151.0,421.0,246.0,1203
2021,Vasternorrland County,,21.0,109.0,159.0,18.0,93.0,399.0,533.0,1358
2021,Vastragotaland County,,125.0,505.0,662.0,138.0,1158.0,2549.0,4637.0,9956
2021,Sodermanland County,,40.0,111.0,23.0,18.0,242.0,523.0,1695.0,2683
2021,Stockholm County,,114.0,380.0,657.0,77.0,136.0,2098.0,167.0,3876
2021,Varmland County,,34.0,119.0,77.0,27.0,184.0,507.0,195.0,1173
2022,Norrbotten County,249177.0,48.3,287.1,1743.0,10.7,113.4,459.2,2446.2,830.10524
2022,OErebro County,307772.0,32.3,82.5,105.0,16.5,200.4,440.4,279.1,1173.842408
2022,Vaesterbotten County,276295.0,25.4,134.3,117.1,11.2,154.7,430.7,308.3,1200.77807
2022,Jaemtland County,132670.0,24.0,84.8,16.6,8.6,106.3,172.5,10.0,428.78944
2022,Vaesternorrland County,243265.0,21.9,95.4,164.9,14.3,90.5,362.7,552.2,1314.60406
2022,Gaevleborg County,287334.0,29.9,111.5,58.3,13.1,144.8,479.6,231.6,1088.133858
2022,Dalarna County,288310.0,26.2,111.0,120.2,16.8,135.8,422.1,593.1,1440.97338
2022,Vaestmanland County,280713.0,26.9,73.3,179.7,11.2,156.1,376.2,219.8,1062.779418
2022,Stockholm County,2440027.0,107.4,331.8,822.3,72.4,139.1,1915.4,136.6,-581.246202
2022,Blekinge County,158740.0,17.6,35.7,197.0,27.2,105.9,192.7,36.5,602.57704
2022,Halland County,342805.0,20.2,78.2,167.6,47.0,354.1,585.2,92.9,1335.911085
2022,Skaane County,1414324.0,118.8,302.7,640.7,150.0,1083.4,1626.5,770.8,400.588384
2022,Soedermanland County,302566.0,36.0,100.1,42.1,16.1,250.5,478.1,1706.5,-1648.422494
2022,Gotland County,61173.0,9.1,31.0,17.1,12.6,246.6,138.8,1512.4,1961.695764
2022,Kronoberg County,204335.0,27.2,50.1,49.0,14.0,206.4,355.3,24.5,735.19733
2022,Joenkoeping County,369113.0,42.1,88.6,154.7,23.4,376.1,633.8,52.4,1388.603106
2022,OEstergoetland County,471912.0,24.1,113.3,619.1,24.2,487.0,670.1,115.1,2081.13192
2022,Uppsala County,400682.0,17.2,97.8,201.1,17.9,284.1,565.8,48.5,1257.740798
2022,Vaermland County,283976.0,33.2,103.9,109.9,24.4,177.2,439.6,163.9,1059.514456
2022,Kalmar County,247711.0,32.9,79.3,100.1,23.6,514.2,393.9,51.0,1198.92124
2022,Vaestra Goetaland County,1758656.0,119.6,432.6,793.2,126.9,1141.4,2333.7,4326.3,748.528768
