Huvudsektor,Undersektor,Län,Kommun,CO2 1990,CO2 2000,CO2 2005,CO2 2010,CO2 2015,CO2 2016,CO2 2017,CO2 2018,CO2 2019,CO2 2020,CO2 2021,CO2 2022
Alla,Alla,Gävleborgs län,Hofors,155389.071871481,148115.874440945,132796.786594844,134035.005404776,110319.080648312,104071.14488947,113915.652443266,108415.80001248,94944.4501932687,76336.8657848041,88822.2789925482,84952.643322806
Alla,Alla,Gävleborgs län,Hudiksvall,321883.714819867,343108.541726362,269064.134585307,215800.201712012,147988.699870119,150562.559242294,134303.060651399,142268.283152039,124914.77296567,117219.606290799,118827.76853354,103938.851277814
Alla,Alla,Gävleborgs län,Ljusdal,136070.666198934,130031.301501489,110429.957489742,101302.043754202,86169.2694283498,80159.2006467718,76465.0328755445,67921.6036395722,74223.6664057982,64659.528581637,61740.9340759015,55688.3583586796
Alla,Alla,Gävleborgs län,Nordanstig,73405.6545648887,66141.6168778441,65542.839608499,56904.6872658032,49807.0681690642,48548.1302889607,45193.6618625164,44085.7735013081,43535.4356387179,39462.0164886683,39663.1360437299,35958.9678721891
Alla,Alla,Gävleborgs län,Ockelbo,33094.818291945,31142.6743817045,27418.9446248691,23422.4361937922,21044.5379785271,19727.9169649819,18663.7172799428,15927.4209351627,16031.4674453415,14636.6482366491,14282.6619559741,13005.8501753243
Alla,Alla,Gävleborgs län,Ovanåker,55245.0584202431,54079.7852387402,52534.2866406167,44695.6206949922,36394.0754424867,34847.2692594697,32375.6769216762,30220.4330351536,30182.4451603311,29185.8132461368,28061.5292942824,25047.682729666
Alla,Alla,Gävleborgs län,Sandviken,239272.490672895,249713.705302408,278592.018029515,279455.693125642,220247.688884257,226924.938616447,221725.796089402,220356.419516102,211446.257257316,188678.731272294,169113.361666468,150335.613702079
Alla,Alla,Gävleborgs län,Söderhamn,184884.248558104,210680.730718145,191232.262238598,155114.307410959,136680.384807102,140251.410818772,123123.455593819,108093.815002716,112698.481001368,100788.445715842,97423.1524113475,90392.1691510357
Alla,Alla,Hallands län,Alla,1775106.52942718,1560297.07784451,1512892.69032391,1461612.61931035,1067390.07835829,1046270.00122619,1040512.15162959,1022531.53397815,1008724.57661949,928689.060944314,958288.452517582,889157.195865729
Alla,Alla,Hallands län,Falkenberg,242741.313064635,200497.398271803,189697.258153262,201300.769990604,161783.097443538,157669.854547306,162455.155479166,161285.170700977,162356.397864355,144501.453214757,150820.019834456,136079.585514503
Alla,Alla,Hallands län,Halmstad,615594.866879918,595862.90827613,592716.72918324,579338.21050004,356821.555681402,357606.377978995,341488.791953262,339164.196260097,328154.693405139,306590.809885643,324174.17735727,317314.704655369
Alla,Alla,Hallands län,Hylte,199319.853176415,121108.379900872,130203.830361993,76082.0689220658,48873.4357953239,47510.4245904197,43271.124528788,41461.4407065843,39719.2941947399,38282.8418808916,43182.5786767515,36440.8544000994
Alla,Alla,Hallands län,Kungsbacka,252759.865735053,240601.576001001,226806.744948327,238552.032046782,198145.33509932,190038.155335014,189865.173968474,185833.143296196,185490.681038725,171620.29636302,171494.019914181,154372.576466666
Alla,Alla,Hallands län,Laholm,173924.944370853,154332.329635492,127981.037770246,118193.275322531,100102.667438142,96949.4495609475,94702.0690947506,86856.9912289956,86291.0550346243,78168.9551737522,77088.691666107,69457.3952709038
Alla,Alla,Hallands län,Varberg,290765.58554853,247894.510032687,245487.114618551,248146.319419181,201664.043076537,196495.804565115,208729.798883696,207930.573044716,206712.473975076,189524.710740458,191528.989646325,175492.12268802
Alla,Alla,Jämtlands län,Alla,861399.269662844,753292.19140683,729030.178476555,613320.209106873,528155.202056024,506798.464014611,471116.611987176,360801.089410968,351543.038267202,317401.914860904,315909.820553064,280057.084305628
Alla,Alla,Jämtlands län,Berg,67782.1100142881,68674.3857463469,66756.4741423819,57147.0535320293,50206.9219047801,49129.469498346,43125.9828551351,30161.6020865843,29555.7786794267,27996.0943968252,27758.1580706358,24535.8828040617
Alla,Alla,Jämtlands län,Bräcke,61061.3250429275,54265.0164324876,49054.1367012125,44147.3710785125,39089.7420554733,38466.9894539396,33785.4698016089,31452.1006089076,31346.5712185315,27965.8632639736,26505.8573555264,25364.7436187476
Alla,Alla,Jämtlands län,Härjedalen,129891.229753515,126001.445893905,117561.721049476,99167.0118873501,85326.1914613527,81512.7269022133,73012.1583065926,42444.7855732,44935.0401880167,42300.1913464184,39733.9807952753,35102.4116741919
Alla,Alla,Jämtlands län,Krokom,84019.369043557,80385.5876331006,75942.6395466731,66858.1060157541,60362.7710701548,57578.0137621315,54152.9234288041,40745.0754224734,41617.068532174,38878.0246216998,38800.9938037187,35639.4810233495
Alla,Alla,Jämtlands län,Ragunda,52717.6688714817,51168.698533652,49033.2667381431,41593.5855499493,33524.1113273445,33349.2202469642,30447.9122616415,25339.6056794553,24378.6822733937,22439.9019469962,22293.705057353,19002.704797088
Alla,Alla,Jämtlands län,Strömsund,115659.307421719,101397.405426713,103609.749876706,79331.2934226587,68921.3511682719,65451.2788810805,57630.7777212643,43565.5566596189,43209.2333260372,41698.5311281005,44111.4131993827,39206.5946280561
Alla,Alla,Jämtlands län,Åre,81486.8539817147,77599.4149493578,75101.9494801015,57741.4690804199,48857.7838255279,47312.4594761167,45704.4054453743,28811.9922919329,29205.5567797348,26731.0444990491,26543.6703066067,23984.0411539011
Alla,Alla,Jämtlands län,Östersund,268781.390475752,193800.209633032,191970.129962117,167334.241631961,141866.215745138,133998.26882392,133257.008763246,118280.372096477,107295.115643816,89392.2998856254,90162.0224524057,77221.1879172793
Alla,Alla,Jönköpings län,Alla,1502354.16848944,1376218.056766,1348811.07756763,1376866.42822892,1152746.95373768,1093575.55693379,1101159.71259465,1073261.56217348,1062880.37432671,987253.534887293,1006689.79183172,908437.778989085
Alla,Alla,Jönköpings län,Aneby,31162.9337777316,26932.6243263968,27909.508979536,21469.6398097628,17529.2868766426,16829.4698745429,19284.2487634577,17377.931923667,17454.6421119336,15795.0920479585,15898.0640661314,14250.437523746
