year,region,utilized_agric_area,cattle,pigs,poultry,sheep,goats
2022,Central Finland,91.5,41458,7160,10127,8576,28
2022,South Ostrobothnia,264.5,114831,217211,3558134,8056,1234
2022,Ostrobothnia,125.8,49338,155739,527915,10499,25
2022,Central Ostrobothnia,58.1,47944,11413,0,3658,0
2022,North Ostrobothnia,240.3,131137,51259,16465,10832,117
2022,Kainuu,25.5,16362,0,0,2604,6
2022,Lapland,43.6,26765,0,0,12561,61
2022,Aaland,15.9,8465,0,0,7157,88
2023,Uusimaa,178.6,20037,20024,14558,5626,1562
2023,Southwest Finland,291.1,39148,281267,5007959,20484,572
2023,Satakunta,139.3,31984,101406,4064383,3787,164
2023,Kanta-Haeme,103.7,20306,35514,155551,4534,647
2023,Pirkanmaa,166.4,46640,69460,938973,9324,1237
2023,Paeijaet-Haeme,94.1,17965,22393,0,3350,18
2023,Kymenlaakso,70.4,12414,2600,6587,2434,98
2023,South Karelia,52.0,15682,3894,14473,1715,0
2023,South Savo,63.7,36086,5268,132672,5211,40
2023,North Savo,153.4,107844,16022,48767,4820,48
2023,North Karelia,84.7,43216,3815,23517,2259,11
2023,Central Finland,91.2,40316,6400,64661,8234,34
2023,South Ostrobothnia,265.5,114693,214345,3364102,5818,1095
2023,Ostrobothnia,126.7,49233,142009,394123,10407,27
2023,Central Ostrobothnia,58.4,46889,12194,0,3731,0
2023,North Ostrobothnia,240.9,127835,51251,12487,10036,143
2023,Kainuu,25.3,16020,0,0,1920,0
2023,Lapland,42.9,26181,0,0,11538,38
2023,Aaland,14.2,8162,0,0,6832,65
2024,Uusimaa,178.7,19349,0,18496,0,0
2024,Southwest Finland,290.8,38270,0,5356589,0,0
2024,Satakunta,139.7,30938,0,3531740,0,0
2024,Kanta-Haeme,103.7,19734,0,150115,0,0
2024,Pirkanmaa,165.8,44837,0,892074,0,0
2024,Paeijaet-Haeme,93.2,17385,0,0,0,0
2024,Kymenlaakso,70.2,12177,0,0,0,0
2024,South Karelia,51.7,15046,0,0,0,0
2024,South Savo,63.0,35518,0,119713,0,0
2024,North Savo,153.0,104680,0,45281,0,0
2024,North Karelia,83.3,42099,0,17292,0,0
2024,Central Finland,90.6,38521,0,57791,0,0
2024,South Ostrobothnia,263.2,111819,0,4064541,0,0
2024,Ostrobothnia,126.3,47790,0,394498,0,0
2024,Central Ostrobothnia,57.9,44861,0,0,0,0
2024,North Ostrobothnia,238.3,122439,0,12538,0,0
2024,Kainuu,24.9,14935,0,0,0,0
2024,Lapland,42.7,25519,0,0,0,0
2024,Aaland,14.2,7922,0,0,0,0
