year,oil_gas_heating_of_floor_area_in_m2,coal_coke_heating_of_floor_area_in_m2,wood_peat_heating_of_floor_area_in_m2,other_heating_of_floor_area_in_m2,region,wood_fuels_in_1000m3,population,utilized_agric_area_in_1000_hectares,cattle,pigs,poultry,sheep,goats
2020,1945553,1714,2137128,686780,North Karelia,1119,163537,84.0,45845,5613,24963,3473,21
2020,4002520,86357,2575805,991718,Central Finland,1879,272617,93.5,44580,7972,51148,8769,13
2020,4780526,4584,3247707,983322,South Ostrobothnia,510,192150,251.0,112637,201024,3240790,8530,1081
2020,4160440,74538,1536037,1181437,Ostrobothnia,1109,175816,138.7,49277,170417,528988,10791,25
2020,1373004,3147,648536,486526,Central Ostrobothnia,202,67988,57.8,50030,12201,63,4155,0
2020,4179428,31817,3289364,1556514,North Ostrobothnia,1237,413830,239.4,131711,52546,13982,13701,20
2020,768040,991,1059002,293061,Kainuu,371,71664,25.8,17231,0,10197,2447,4
2020,2936363,6810,1884355,939291,Lapland,1187,176665,44.0,29564,0,2933,12766,46
2020,851359,2548,204069,174241,Aaland,66,30129,16.3,8451,133,16103,8697,88
2021,14029080,342183,2113610,4716668,Uusimaa,2065,1714741,181.2,20607,23222,13775,6525,1783
2021,9427224,136501,2752905,2581985,Southwest Finland,1607,483477,292.7,38510,312968,5108195,20397,555
2021,5819724,116173,1985906,1897619,Satakunta,1305,214281,140.5,32621,128078,3274021,4146,136
2021,3040607,40443,1174554,831021,Kanta-Haeme,508,170213,103.3,19813,40938,198524,4487,0
2021,8130079,60750,2884383,1776130,Pirkanmaa,1621,527478,166.4,46836,77383,855446,9133,1237
2021,3111331,18402,1342240,734486,Paeijaet-Haeme,1046,205124,93.8,19378,21422,608,4177,6
2021,4548414,55584,956173,1367578,Kymenlaakso,1262,161391,70.4,12490,4149,8276,2737,66
2021,2035353,51454,1061740,727590,South Karelia,2051,126107,52.1,16907,11256,17791,2369,0
2021,2110087,3729,2032601,519547,South Savo,1065,131688,64.1,36896,6809,135089,5103,33
2021,2625473,13881,2633420,870703,North Savo,1526,248363,154.1,112756,17397,53483,5511,131
2021,1919496,1714,2122060,714049,North Karelia,1264,163281,85.1,46202,4275,25824,2797,16
2021,3919710,86357,2545715,996668,Central Finland,2392,272683,91.4,42968,7455,49756,8755,16
2021,4776929,4569,3253580,1013600,South Ostrobothnia,772,191762,263.5,114717,226688,3531632,8577,1202
2021,4050240,73699,1529631,1186364,Ostrobothnia,1323,176041,126.1,48475,155712,508299,10202,20
2021,1360084,3147,641094,486710,Central Ostrobothnia,288,67915,58.0,48590,12611,0,3642,0
2021,4148177,35424,3265124,1606360,North Ostrobothnia,1843,415603,239.9,131753,56483,18940,10971,23
2021,734416,991,1056609,299548,Kainuu,558,71255,25.6,16916,0,0,2215,5
2021,2903504,6810,1867658,986133,Lapland,1474,176494,43.9,28746,0,0,11449,34
2021,838458,2293,195497,172754,Aaland,78,30344,16.3,8857,0,21938,7893,89
2022,13856463,342331,2090926,5059104,Uusimaa,2003,1733033,179.7,20444,15475,12224,6726,1742
2022,9330725,135576,2734926,2633523,Southwest Finland,1498,485567,292.2,39146,306802,4931034,21477,608
2022,5785913,115782,1974764,1942357,Satakunta,1295,212556,140.3,32464,114697,3510294,4297,163
2022,3044183,39609,1170723,853388,Kanta-Haeme,511,169537,104.0,19976,45957,190890,4765,0
2022,8038035,59981,2864433,1898344,Pirkanmaa,1585,532671,166.6,46889,73832,1331718,9362,1307
