"Year","Area","Long Distance Or Reg Heating Gross Floor Area (m2)","Oil Gas Floor Area m2","Electricity Floor Area m2","Coal Coke Floor Area m2","Wood Peat Floor Area m2","Ground Heat Floor Area m2","Other Floor Area m2"
"2022","MK08 Kymenlaakso",5906547,4446516,3837346,54446,948157,790386,1451289
"2022","MK09 South Karelia",5927159,2033221,2427276,51142,1054558,284562,731856
"2022","MK10 South Savo",4969260,2052087,3365373,3708,2019458,575891,559707
"2022","MK11 North Savo",11403501,2593891,5107207,13706,2612100,883808,901782
"2022","MK12 North Karelia",6219529,1903019,4462792,1714,2120288,517008,739689
"2022","MK13 Central Finland",11744889,3678307,5172171,86357,2509572,1137609,988653
"2022","MK14 South Ostrobothnia",6454247,4747053,4758267,4511,3242247,782636,1046973
"2022","MK15 Ostrobothnia",6130450,4034580,3642703,73731,1523930,1569788,1200327
"2022","MK16 Central Ostrobothnia",2550657,1366143,1515435,3147,636005,403444,479298
"2022","MK17 North Ostrobothnia",17766610,4051787,8557901,35680,3228521,1634449,1698316
"2022","MK18 Kainuu",3441342,742403,1572484,991,1046019,298965,314316
"2022","MK19 Lapland",6668153,2890625,5085050,6810,1854108,811194,997050
"2022","MK21 Aaland",795085,840378,698890,2293,196414,313318,185201
"2023","MK01 Uusimaa",90971618,12454898,23131133,322062,2079789,8047493,5025258
"2023","MK02 Southwest Finland",19383335,8417518,9738322,123411,2697727,3040727,2647201
"2023","MK04 Satakunta",8166368,5498338,5978322,115668,1966178,826302,1922651
"2023","MK05 Kanta-Haeme",6260831,2871425,4546270,37241,1151737,818646,845510
"2023","MK06 Pirkanmaa",23098157,7357467,8739003,56500,2815271,3421742,2036691
"2023","MK07 Paeijaet-Haeme",10553643,2981956,3822329,17567,1318458,831586,742799
"2023","MK08 Kymenlaakso",5937390,4150079,3797139,52872,935298,983247,1507943
"2023","MK09 South Karelia",5817322,1951117,2398622,50450,1031549,338742,670051
"2023","MK10 South Savo",4976187,1854213,3356552,3668,2005648,645373,558692
"2023","MK11 North Savo",11620729,2319730,5111179,11035,2582650,1009539,901351
"2023","MK12 North Karelia",6324256,1761269,4487801,1714,2100031,565763,715564
"2023","MK13 Central Finland",12008700,3413921,5209739,86318,2449863,1274153,1046100
"2023","MK14 South Ostrobothnia",6644746,4495652,4765529,4306,3186728,879983,1043247
"2023","MK15 Ostrobothnia",6231997,3883053,3592127,72659,1515357,1693251,1216634
"2023","MK16 Central Ostrobothnia",2579618,1307751,1502288,3147,629088,422917,416604
"2023","MK17 North Ostrobothnia",17903646,3843665,8548421,34250,3198615,1784437,1737639
"2023","MK18 Kainuu",3436237,687662,1583360,1146,1042749,317859,309679
"2023","MK19 Lapland",6760614,2706695,5053224,6727,1837949,901741,1034082
"2023","MK21 Aaland",806915,820244,689041,2378,195319,323518,172662
